#{"t_start": 1711605831.8616843, "env_id": "drl-nav-v0"}
r,l,t
0.637728,232,3543.904009
-98.074091,478,3619.338547
-8.202256,201,3643.225552
11.884583,270,3681.843207
11.466185,236,3717.433398
1.529467,312,3766.323701
-33.0837,174,3783.736311
12.878114,233,3818.156648
-8.008644,238,3853.418184
12.34589,221,3881.508359
1.524003,256,3917.120013
13.260503,367,3954.755982
14.352851,261,3996.139051
-38.599113,233,4022.265281
7.674694,186,4050.199687
14.129054,240,4082.975161
-123.633493,409,4133.200251
13.076103,278,4176.497741
-55.098212,513,4240.580531
3.868773,204,4271.014773
-40.895181,243,4304.410618
-3.973992,328,4349.051757
-164.390865,117,4362.322112
13.14002,248,4401.841136
12.829611,260,4428.38895
11.918785,231,4463.469253
15.32587,293,4499.081055
11.339555,257,4538.897219
13.047645,304,4572.24826
13.062293,264,4608.498765
-0.903173,200,4629.837834
10.39255,227,4660.637345
-5.470703,204,4679.694412
-25.598596,190,4711.369925
-217.872698,178,4732.365002
9.52204,181,4755.281982
-24.431373,195,4785.148528
-5.7213,275,4809.61225
10.884386,195,4837.193939
-117.168362,513,4892.705696
11.155944,187,4914.781904
13.845878,260,4941.876936
10.038045,235,4971.645514
9.640368,234,4994.28003
-35.903068,275,5029.699313
-20.121456,109,5041.126506
-38.345275,272,5080.541698
3.538586,91,5094.716847
7.716262,178,5118.316648
-27.634686,207,5150.80705
8.087435,260,5178.094498
-70.333514,325,5223.794837
8.191877,224,5248.729691
-103.258944,225,5281.47564
12.885439,280,5315.573409
8.537646,304,5355.755558
-48.13937,299,5391.883935
6.344244,223,5424.062364
-98.456914,124,5439.84248
-9.589905,262,5476.026195
8.608559,204,5500.384711
3.097918,79,5507.686985
-28.964359,335,5556.535381
-32.351186,118,5567.745446
2.049989,56,5578.347046
-330.248117,431,5633.401758
-187.418782,73,5642.124262
-56.217887,267,5682.302303
4.13345,183,5700.643378
-81.088105,261,5730.605029
-20.568789,232,5768.772442
-36.99443,180,5785.919862
-124.33355,296,5822.208416
-30.799307,259,5851.253286
-8.084147,219,5880.325063
11.169057,191,5905.300293
3.389291,132,5917.028543
9.596003,220,5953.832576
10.08255,173,5977.09421
-9.974497,302,6018.370185
12.391712,220,6050.04146
13.561567,229,6081.044268
-124.313745,293,6117.56423
-34.310828,228,6147.309262
3.781716,81,6155.539863
13.686389,240,6185.124358
12.934364,266,6217.227719
11.03522,339,6252.550638
15.001456,311,6292.145273
9.689417,238,6325.097013
12.265087,284,6352.619427
2.422844,142,6366.882738
-16.743896,225,6400.73563
-3.185393,223,6424.360534
-79.077558,188,6450.290413
-5.922031,513,6513.819552
-208.229748,118,6531.475285
1.157762,129,6548.999693
-72.053398,80,6563.02424
-26.435583,253,6603.589225
-39.259345,45,6609.378064
-64.375951,193,6637.54124
-303.029137,513,6706.15854
-10.94405,198,6741.408704
6.764739,143,6760.415083
-1.932923,181,6784.170288
9.022329,159,6816.23226
10.96738,310,6850.400012
14.369613,335,6893.232098
-167.555583,176,6915.580829
-127.448127,34,6919.877581
-77.176008,375,6971.730749
0.383499,79,6979.588313
9.768681,186,7005.970415
-0.653787,219,7039.467478
-2.190358,60,7051.528775
-15.454316,208,7081.42876
-90.339952,258,7120.575673
-65.165201,166,7139.002247
-153.402625,323,7179.528935
10.400546,185,7207.946782
9.918521,217,7240.175622
7.075343,140,7254.6342
-17.68333,513,7323.364361
13.028596,232,7355.236158
9.362472,254,7387.640642
11.65017,223,7409.681078
10.47476,209,7438.178809
14.293234,258,7463.923654
9.837735,187,7490.540354
9.592996,314,7524.737606
-9.085523,329,7565.190257
-210.013632,247,7588.631489
-55.648955,243,7618.598359
-14.966421,134,7633.719858
-38.466995,258,7675.717804
2.257934,53,7682.793129
11.356547,313,7718.759474
-5.577419,159,7742.862842
-12.644347,334,7773.285976
13.442474,279,7808.713145
9.727812,183,7825.924373
-2.71613,61,7834.768811
0.881052,58,7847.540197
-3.656153,194,7880.039009
-12.937871,199,7900.59438
-68.706179,221,7930.634932
-52.231815,236,7953.070038
-230.690101,232,7975.757484
11.900128,237,8012.65699
-63.854427,169,8033.374975
-45.482381,194,8060.474872
5.051785,202,8078.576952
-4.602868,202,8101.021159
11.47788,224,8131.263248
13.701861,269,8159.167821
8.985898,172,8186.141429
15.243213,278,8215.868232
12.28732,307,8257.740838
9.585912,210,8284.110921
-51.948931,212,8319.101769
2.876393,163,8340.901556
-27.089925,196,8366.053772
-42.393323,513,8427.388038
5.393278,291,8472.926398
-14.335444,330,8521.037176
-7.370161,280,8549.011142
-76.917001,343,8593.389308
-61.294226,282,8624.658869
-159.459887,84,8642.252476
2.32349,53,8653.077172
-4.629745,277,8688.341079
-83.842464,326,8732.954339
6.464329,123,8751.939775
9.543815,225,8790.982461
4.134822,105,8804.297792
9.502798,213,8832.86073
14.819638,276,8871.71441
8.723097,184,8889.405547
14.265865,267,8923.950819
-0.373268,513,8996.382052
0.398927,54,9009.789862
8.805843,205,9042.193809
-22.301717,228,9073.670237
-29.41212,219,9094.610323
-10.705368,196,9124.110924
11.979871,236,9165.088798
-20.677838,345,9208.432876
1.232219,162,9239.98515
-0.117789,18,9248.367418
-13.029481,225,9277.972116
-47.639604,182,9306.921453
-26.400124,69,9320.75264
-107.753578,186,9349.981535
-174.502526,170,9368.514175
-80.134044,136,9390.923045
8.444268,179,9413.028844
-4.911476,186,9434.305198
-6.233645,209,9474.960221
-35.998828,161,9496.839594
-152.695561,354,9548.191867
-138.098635,457,9612.949622
2.745032,57,9625.713041
-52.273124,251,9660.422739
9.137463,163,9689.377833
-74.037856,162,9707.27787
-91.200714,313,9753.18071
-13.554298,247,9781.491636
-9.181844,255,9816.927176
-17.365251,248,9846.761497
13.169155,273,9890.368334
-47.40846,90,9903.171486
-16.152309,246,9939.57948
-17.840232,168,9966.870125
-43.208184,269,10002.175144
-18.048775,62,10009.749416
13.866698,260,10052.602726
8.827778,197,10075.412369
-2.432182,114,10094.133434
-0.039287,16,10101.984581
0.51835,38,10111.74994
-428.805366,278,10159.15154
-38.441114,509,10228.903954
-133.186491,354,10279.0746
-32.378458,274,10308.255375
-136.839709,358,10369.414476
-2.151981,240,10398.764308
-29.252269,326,10443.631098
-17.474669,236,10468.136145
-204.155496,294,10510.95771
1.568413,437,10563.386991
14.335163,250,10595.720959
14.885268,289,10637.138049
-69.955192,188,10660.929307
-3.96366,4,10662.363361
9.417794,190,10697.096684
-43.317161,344,10731.914025
-4.688992,187,10763.149338
-4.271562,282,10794.040541
-209.370403,292,10835.3664
12.285479,497,10903.025148
-17.043053,401,10955.790145
-29.080825,458,11010.297543
-0.771786,332,11052.955388
-158.481113,72,11060.799099
9.01093,163,11089.069634
12.159027,247,11117.193633
10.763101,220,11141.08969
-3.159691,363,11186.607779
-79.193944,247,11228.88038
-13.762003,282,11261.447763
13.432422,231,11294.250452
9.681307,203,11315.761811
-139.398633,246,11350.840127
-34.505602,270,11385.668823
-57.514629,278,11421.942619
-36.385018,257,11448.560281
-53.795427,164,11472.175979
2.377566,59,11492.323762
-0.29216,183,11518.028529
-16.75284,104,11529.647337
-31.471833,298,11576.632588
-6.207007,187,11598.900038
-0.09888,235,11634.008187
-2.348002,56,11649.006057
-30.241657,81,11662.286552
9.971254,182,11688.364617
9.043108,159,11711.756328
11.806572,270,11751.626542
14.161831,331,11800.241422
-266.185102,353,11839.201469
1.346233,132,11863.409647
-125.387639,285,11901.091364
-52.775305,251,11937.781142
6.207176,513,12003.116031
1.481374,164,12033.425791
-134.353109,216,12056.232447
2.379448,513,12115.161995
3.476186,76,12135.503607
8.896935,275,12175.497308
2.485128,55,12186.365852
-85.451621,513,12249.734205
-0.195335,17,12257.962241
-86.321009,303,12304.488901
-57.140906,437,12362.563109
-36.380867,92,12372.203519
4.751017,322,12418.852976
6.764691,252,12463.062922
3.038398,513,12539.604115
2.81686,57,12552.241515
6.828452,513,12625.813763
-74.672523,359,12685.517038
-2.820437,219,12710.960629
14.200574,269,12751.76742
13.826246,282,12788.456113
10.349716,228,12822.909359
8.677714,194,12846.020913
