1.718137,243,35.58983
1.804846,223,57.989125
0.320044,108,78.407232
0.784005,263,109.720892
1.575666,267,141.950306
-3.664017,136,156.773499
0,274,188.483203
-2.758475,513,241.714752
4.94369,354,305.530871
1.151739,240,340.538568
3.799926,265,371.539168
2.017626,513,446.574617
1.442605,189,481.367798
3.093086,334,526.121633
0.377495,405,576.509517
0,292,621.23116
-5.953852,118,642.470125
0.233364,169,668.869858
1.132851,489,740.851126
0,215,765.215936
1.667917,210,804.133549
0,271,833.15019
-0.150752,480,897.610186
-0.520689,202,930.03644
1.163073,277,964.266545
0,300,1007.168106
0,274,1041.30841
0,362,1090.175762
-1.197157,318,1138.77324
-2,68,1147.61953
-2.961591,279,1185.679711
-3.185333,47,1197.996231
-1.792695,513,1270.149329
1.09836,186,1311.425953
-0.718059,220,1337.90909
1.149309,234,1379.426833
0.478195,224,1404.503401
0.379419,513,1472.364244
2.605404,512,1544.434704
-1.80088,282,1584.150681
-3.841299,53,1596.250462
4.531988,513,1668.221097
0.37171,318,1714.435209
0.992984,364,1767.035744
0.318954,277,1814.09555
-1.201054,513,1881.284465
-3.332875,54,1892.992675
-3,146,1915.787161
-3.382329,60,1932.131924
0,513,2002.130002
-9.60E-05,248,2042.283617
0,346,2081.089734
0,242,2118.917962
0,302,2152.303482
0,362,2199.508004
-1.015425,513,2269.360352
-12.035196,283,2321.422358
1.642158,195,2349.84118
-0.388608,228,2383.744253
-5.165387,94,2395.658896
0.980833,185,2423.811686
1.115818,274,2463.919327
5.42314,380,2511.158863
0.832934,202,2544.555298
2.569164,490,2609.734341
-0.401688,279,2643.752658
0.925889,412,2718.517581
0.885957,201,2744.375036
-4.287632,13,2751.681715
1.012943,207,2792.516038
2.076681,368,2849.717126
-3.573062,132,2863.661037
1.201546,208,2892.702116
-2.195453,205,2926.911779
-0.578977,281,2966.625309
-0.28588,508,3036.360327
2.383564,281,3073.180771
2.986888,285,3102.590904
0.361363,297,3143.108562
-1,435,3200.617695
-0.626514,322,3243.505708
-0.124835,513,3314.953086
0.333294,513,3388.202134
1.862884,296,3440.665499
-3,86,3453.644608
-1.886963,513,3521.633606
-0.491039,513,3603.917685
0,226,3648.162432
